producto_id,producto,unidad,cantidad
1,aceite de girasol,litro(s),900.0
2,arroz de primera,kilo(s),1.0
3,azucar granulada,kilo(s),1.0
4,café instantaneo nescafé (tradición tapa café),gramo(s),200.0
5,carne de pollo (entero),kilo(s),1.0
6,carne de res pulpa especial,kilo(s),1.0
7,cebolla cortada/cabeza/solo cabezas,kilo(s),1.0
8,chuleta de cerdo,kilo(s),1.0
9,chuleta de res,kilo(s),1.0
10,costilla de cerdo,kilo(s),1.0
11,costilla de res,kilo(s),1.0
12,fideo corto,kilo(s),1.0
13,harina de trigo,kilo(s),1.0
14,huevos de gallina (maple de 30 huevos),unidad(es),30.0
15,jabón de tocador/jaboncillo dove,gramo(s),90.0
16,jabón de tocador/jaboncillo lux 120-125,gramo(s),125.0
17,leche pasteurizada (pil),litro(s),900.0
18,molida corriente,kilo(s),1.0
19,papa imilla,kilo(s),1.0
20,pasta dental colgate,gramo(s),180.0
21,pasta dentalcolgate,gramo(s),90.0
22,"pañales desechables para bebe ""g""",unidad(es),50.0
23,shampoo en frasco,mililitro(s),340.0
24,tomate tipo perita/llocallito/ovalado,kilo(s),1.0
